show_id,type,title,director,cast,country,rating,release_year,day_added,month_added,year_added,duration_value,duration_type,listed_in
s1,MOVIE,DICK JOHNSON IS DEAD,KIRSTEN JOHNSON,N/S,UNITED STATES,PG-13,2020,25.0,9.0,2021.0,90,MIN,DOCUMENTARIES
s2,TV SHOW,BLOOD & WATER,N/S,"AMA QAMATA, KHOSI NGEMA, GAIL MABALANE, THABANG MOLABA, DILLON WINDVOGEL, NATASHA THAHANE, ARNO GREEFF, XOLILE TSHABALALA, GETMORE SITHOLE, CINDY MAHLANGU, RYLE DE MORNY, GRETELI FINCHAM, SELLO MAAKE KA-NCUBE, ODWA GWANYA, MEKAILA MATHYS, SANDI SCHULTZ, DUANE WILLIAMS, SHAMILLA MILLER, PATRICK MOFOKENG",SOUTH AFRICA,TV-MA,2021,24.0,9.0,2021.0,2,SEASONS,"INTERNATIONAL TV SHOWS, TV DRAMAS, TV MYSTERIES"
s3,TV SHOW,GANGLANDS,JULIEN LECLERCQ,"SAMI BOUAJILA, TRACY GOTOAS, SAMUEL JOUY, NABIHA AKKARI, SOFIA LESAFFRE, SALIM KECHIOUCHE, NOUREDDINE FARIHI, GEERT VAN RAMPELBERG, BAKARY DIOMBERA",N/S,TV-MA,2021,24.0,9.0,2021.0,1,SEASONS,"CRIME TV SHOWS, INTERNATIONAL TV SHOWS, TV ACTION & ADVENTURE"
s4,TV SHOW,JAILBIRDS NEW ORLEANS,N/S,N/S,N/S,TV-MA,2021,24.0,9.0,2021.0,1,SEASONS,"DOCUSERIES, REALITY TV"
s5,TV SHOW,KOTA FACTORY,N/S,"MAYUR MORE, JITENDRA KUMAR, RANJAN RAJ, ALAM KHAN, AHSAAS CHANNA, REVATHI PILLAI, URVI SINGH, ARUN KUMAR",INDIA,TV-MA,2021,24.0,9.0,2021.0,2,SEASONS,"INTERNATIONAL TV SHOWS, ROMANTIC TV SHOWS, TV COMEDIES"
s6,TV SHOW,MIDNIGHT MASS,MIKE FLANAGAN,"KATE SIEGEL, ZACH GILFORD, HAMISH LINKLATER, HENRY THOMAS, KRISTIN LEHMAN, SAMANTHA SLOYAN, IGBY RIGNEY, RAHUL KOHLI, ANNARAH CYMONE, ANNABETH GISH, ALEX ESSOE, RAHUL ABBURI, MATT BIEDEL, MICHAEL TRUCCO, CRYSTAL BALINT, LOUIS OLIVER",N/S,TV-MA,2021,24.0,9.0,2021.0,1,SEASONS,"TV DRAMAS, TV HORROR, TV MYSTERIES"
s7,MOVIE,MY LITTLE PONY: A NEW GENERATION,"ROBERT CULLEN, JOSÉ LUIS UCHA","VANESSA HUDGENS, KIMIKO GLENN, JAMES MARSDEN, SOFIA CARSON, LIZA KOSHY, KEN JEONG, ELIZABETH PERKINS, JANE KRAKOWSKI, MICHAEL MCKEAN, PHIL LAMARR",N/S,PG,2021,24.0,9.0,2021.0,91,MIN,CHILDREN & FAMILY MOVIES
s8,MOVIE,SANKOFA,HAILE GERIMA,"KOFI GHANABA, OYAFUNMIKE OGUNLANO, ALEXANDRA DUAH, NICK MEDLEY, MUTABARUKA, AFEMO OMILAMI, REGGIE CARTER, MZURI","UNITED STATES, GHANA, BURKINA FASO, UNITED KINGDOM, GERMANY, ETHIOPIA",TV-MA,1993,24.0,9.0,2021.0,125,MIN,"DRAMAS, INDEPENDENT MOVIES, INTERNATIONAL MOVIES"
s9,TV SHOW,THE GREAT BRITISH BAKING SHOW,ANDY DEVONSHIRE,"MEL GIEDROYC, SUE PERKINS, MARY BERRY, PAUL HOLLYWOOD",UNITED KINGDOM,TV-14,2021,24.0,9.0,2021.0,9,SEASONS,"BRITISH TV SHOWS, REALITY TV"
s10,MOVIE,THE STARLING,THEODORE MELFI,"MELISSA MCCARTHY, CHRIS O'DOWD, KEVIN KLINE, TIMOTHY OLYPHANT, DAVEED DIGGS, SKYLER GISONDO, LAURA HARRIER, ROSALIND CHAO, KIMBERLY QUINN, LORETTA DEVINE, RAVI KAPOOR",UNITED STATES,PG-13,2021,24.0,9.0,2021.0,104,MIN,"COMEDIES, DRAMAS"
s11,TV SHOW,"VENDETTA: TRUTH, LIES AND THE MAFIA",N/S,N/S,N/S,TV-MA,2021,24.0,9.0,2021.0,1,SEASONS,"CRIME TV SHOWS, DOCUSERIES, INTERNATIONAL TV SHOWS"
